[2026-08-19T04:37:45.710Z] {"timestamp":1787114265324,"kind":"scroll","url":"http://127.0.0.1:3000/?category=treats#products","viewport":{"width":390,"height":844},"payload":{"scrollX":0,"scrollY":13082,"documentHeight":20626,"viewportHeight":844}}
[2026-08-19T04:37:47.710Z] {"timestamp":1787114265926,"kind":"scroll","url":"http://127.0.0.1:3000/?category=treats#products","viewport":{"width":390,"height":844},"payload":{"scrollX":0,"scrollY":15192,"documentHeight":20626,"viewportHeight":844}}
[2026-08-19T04:37:47.710Z] {"timestamp":1787114266528,"kind":"scroll","url":"http://127.0.0.1:3000/?category=treats#products","viewport":{"width":390,"height":844},"payload":{"scrollX":0,"scrollY":17302,"documentHeight":20626,"viewportHeight":844}}
[2026-08-19T04:37:47.710Z] {"timestamp":1787114267129,"kind":"scroll","url":"http://127.0.0.1:3000/?category=treats#products","viewport":{"width":390,"height":844},"payload":{"scrollX":0,"scrollY":19412,"documentHeight":20626,"viewportHeight":844}}
[2026-08-19T04:38:03.747Z] {"timestamp":1787114282400,"kind":"scroll","url":"http://127.0.0.1:3000/?category=cats#products","viewport":{"width":390,"height":844},"payload":{"scrollX":0,"scrollY":0,"documentHeight":25326,"viewportHeight":844}}
[2026-08-19T04:40:34.376Z] {"timestamp":1787114432797,"kind":"scroll","url":"http://127.0.0.1:3000/?category=cats#products","viewport":{"width":390,"height":844},"payload":{"scrollX":0,"scrollY":422,"documentHeight":5945,"viewportHeight":844}}
[2026-08-19T04:40:34.376Z] {"timestamp":1787114433399,"kind":"scroll","url":"http://127.0.0.1:3000/?category=cats#products","viewport":{"width":390,"height":844},"payload":{"scrollX":0,"scrollY":2532,"documentHeight":5945,"viewportHeight":844}}
[2026-08-19T04:40:34.376Z] {"timestamp":1787114434048,"kind":"scroll","url":"http://127.0.0.1:3000/?category=cats#products","viewport":{"width":390,"height":844},"payload":{"scrollX":0,"scrollY":3376,"documentHeight":25326,"viewportHeight":844}}
[2026-08-19T04:40:36.374Z] {"timestamp":1787114434650,"kind":"scroll","url":"http://127.0.0.1:3000/?category=cats#products","viewport":{"width":390,"height":844},"payload":{"scrollX":0,"scrollY":5486,"documentHeight":25326,"viewportHeight":844}}
[2026-08-19T04:40:36.374Z] {"timestamp":1787114435252,"kind":"scroll","url":"http://127.0.0.1:3000/?category=cats#products","viewport":{"width":390,"height":844},"payload":{"scrollX":0,"scrollY":7596,"documentHeight":25326,"viewportHeight":844}}
[2026-08-19T04:40:36.374Z] {"timestamp":1787114435853,"kind":"scroll","url":"http://127.0.0.1:3000/?category=cats#products","viewport":{"width":390,"height":844},"payload":{"scrollX":0,"scrollY":9706,"documentHeight":25326,"viewportHeight":844}}
