csv_row,product_id,price_id,mofu_sku,product_name,csv_cost_cny,csv_proposed_hkd,status,current_live_hkd,issue,csv_target_cents
79,prod_V8vrkohKHcwdKL,price_1U8dzNRyM6dRKLtZwBGGo3H9,MH-CAT-SNR-012,AIM30 Karitto Treats 酥脆貓咪零食 雞肉味 25g｜AIM30 Karitto Treats Crispy Cat Treats Chicken Flavour 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
80,prod_V8vrsKDQclIgy0,price_1U8dzwRyM6dRKLtZ7ujj8KaR,MH-CAT-SNR-013,AIM30 Karitto Treats 酥脆貓咪零食 雞肉味 80g｜AIM30 Karitto Treats Crispy Cat Treats Chicken Flavour 80g,56.0,119.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
81,prod_V8vq78vZ3hdOmK,price_1U8dzLRyM6dRKLtZiNLM7My7,MH-CAT-SNR-014,AIM30 Karitto Treats 酥脆貓咪零食 鮮魚味 25g｜AIM30 Karitto Treats Crispy Cat Treats Fish Flavour 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
82,prod_V8vrYMEciXr909,price_1U8dztRyM6dRKLtZ3WxywbNW,MH-CAT-SNR-015,AIM30 Karitto Treats 酥脆貓咪零食 鮮魚味 80g｜AIM30 Karitto Treats Crispy Cat Treats Fish Flavour 80g,56.0,119.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
83,prod_V8vrEgpUGj9fjI,price_1U8dzzRyM6dRKLtZyAr6CctM,MH-CAT-SNR-016,AIM30 Karitto Treats 酥脆貓咪零食 魚味四種綜合包 80g｜AIM30 Karitto Treats Crispy Cat Treats Four Fish Flavours Assortment 80g,56.0,119.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
84,prod_V8vrEGzFHOkIGq,price_1U8dzlRyM6dRKLtZddHrurtA,MH-CAT-SNR-017,AIM30 Karitto Treats 酥脆貓咪零食 毛球護理吞拿魚味 25g｜AIM30 Karitto Treats Crispy Cat Treats Hairball Care Tuna 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
85,prod_V8vr09YUCbk2x6,price_1U8dzoRyM6dRKLtZuW3r2eij,MH-CAT-SNR-018,AIM30 Karitto Treats 酥脆貓咪零食 乳酸菌吞拿魚味 25g｜AIM30 Karitto Treats Crispy Cat Treats Tuna with Lactic Acid Bacteria 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
86,prod_V8vragc9O6bDre,price_1U8dzdRyM6dRKLtZmYLY5TKe,MH-CAT-SNR-019,AIM30 Karitto Treats 酥脆貓咪零食 金槍魚味 25g｜AIM30 Karitto Treats Crispy Cat Treats Tuna Flavour 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
87,prod_V8vr3X8ZjnY554,price_1U8dzQRyM6dRKLtZJ5Dc0Gve,MH-CAT-SNR-020,AIM30 Karitto Treats 酥脆貓咪零食 三文魚味 25g｜AIM30 Karitto Treats Crispy Cat Treats Salmon Flavour 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
88,prod_V8vrqp1avymNZ9,price_1U8dzTRyM6dRKLtZAzLsio4t,MH-CAT-SNR-021,AIM30 Karitto Treats 酥脆貓咪零食 海鮮味 25g｜AIM30 Karitto Treats Crispy Cat Treats Seafood Flavour 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
89,prod_V8vrJdunHu4yQD,price_1U8dziRyM6dRKLtZ8ixLg9g3,MH-CAT-SNR-022,AIM30 Karitto Treats 酥脆貓咪零食 吞拿魚及蟹肉味 25g｜AIM30 Karitto Treats Crispy Cat Treats Tuna & Crab Flavour 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
90,prod_V8vr8q8jdO6wNr,price_1U8dzaRyM6dRKLtZjQNjilZt,MH-CAT-SNR-023,AIM30 Karitto Treats 酥脆貓咪零食 吞拿魚味 25g｜AIM30 Karitto Treats Crispy Cat Treats Tuna Flavour 25g,19.8,42.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
91,prod_V8vro3NAxi0isd,price_1U8e07RyM6dRKLtZMgv8TuPi,MH-CAT-SNR-024,AIM30 貓咪吞拿魚片 30g｜AIM30 Cat Tuna Slices 30g,19.8,42.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
92,prod_V8xXuAW047ti4v,price_1U8fc3RyM6dRKLtZ8kbEZQmk,MH-CAT-SNR-025,AIM30 室內成貓 雞肉味乾糧 600g｜AIM30 Indoor Adult Cat Food Chicken Flavour 600g,168.0,356.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
93,prod_V8xXIokF7G9Er0,price_1U8fc4RyM6dRKLtZnmbBZ59U,MH-CAT-SNR-026,AIM30 室內成貓 鮮魚味乾糧 600g｜AIM30 Indoor Adult Cat Food Fish Flavour 600g,168.0,356.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
94,prod_V8xXwAmye0eVa6,price_1U8fc5RyM6dRKLtZ1foJPEVT,MH-CAT-SNR-027,AIM30 室內成貓 腎臟健康照護 雞肉味乾糧 600g｜AIM30 Indoor Adult Cat Food Kidney Health Care Chicken Flavour 600g,105.0,223.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
95,prod_V8xXxYtzIJ6S93,price_1U8fcCRyM6dRKLtZhVXn5d9C,MH-CAT-SNR-028,AIM30 室內已絕育成貓 雞肉味乾糧 1.2kg｜AIM30 Indoor Spayed and Neutered Adult Cat Food Chicken Flavour 1.2kg,197.0,418.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
96,prod_V8xXaZ0jwFhqkT,price_1U8fc2RyM6dRKLtZ3lk0Ei43,MH-CAT-SNR-029,AIM30 室內高齡貓 11 歲以上 雞肉味乾糧 600g｜AIM30 Indoor Senior Cat Food 11+ Chicken Flavour 600g,168.0,356.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
97,prod_V8xXMTWORpMyun,price_1U8fcBRyM6dRKLtZpuYulJ4J,MH-CAT-SNR-030,AIM30 室內高齡貓 11 歲以上 鮮魚味乾糧 600g｜AIM30 Indoor Senior Cat Food 11+ Fish Flavour 600g,168.0,356.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
98,prod_V8xXwQzwhjo93R,price_1U8fc9RyM6dRKLtZcSJjz0IP,MH-CAT-SNR-031,AIM30 室內高齡貓 15 歲以上 雞肉味乾糧 600g｜AIM30 Indoor Senior Cat Food 15+ Chicken Flavour 600g,168.0,356.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
99,prod_V8xXT4XG39RY4o,price_1U8fc8RyM6dRKLtZkNh900Ke,MH-CAT-SNR-032,AIM30 室內高齡貓 15 歲以上 腎臟健康照護 鮮魚味乾糧 600g｜AIM30 Indoor Senior Cat Food 15+ Kidney Health Care Fish Flavour 600g,168.0,356.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
100,prod_V8xXTyAkIg3YGz,price_1U8fc6RyM6dRKLtZ8UU70tzG,MH-CAT-SNR-033,AIM30 室內高齡貓 15 歲以上 腎臟健康照護 雞肉味乾糧 600g｜AIM30 Indoor Senior Cat Food 15+ Kidney Health Care Chicken Flavour 600g,168.0,356.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
101,prod_V8uIO7LzUQjeCT,price_1U8cU0RyM6dRKLtZ8uu3Ejr3,MH-CAT-UCM-001,Unicharm Deotoilet 消臭抗菌沸石貓砂 清新庭院香 3.8L｜Unicharm Deotoilet Deodorising Antibacterial Zeolite Cat Litter Natural Green 3.8L,43.0,91.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
102,prod_V8sFjjO8IgpPvO,price_1U8aVNRyM6dRKLtZ7S60votS,MH-DOG-GEN-001,Complete ytt 日本犬用雞肉條小食 20g｜Complete ytt Chicken Tender Dog Treats 20g,6.74,14.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
103,prod_V8sFjjO8IgpPvO,price_1U8aVNRyM6dRKLtZqwr4DE1J,MH-DOG-GEN-001,Complete ytt 日本犬用雞肉條小食 20g｜Complete ytt Chicken Tender Dog Treats 20g,12.9,27.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
104,prod_V8sFjjO8IgpPvO,price_1U8aVORyM6dRKLtZ8BiiBL40,MH-DOG-GEN-001,Complete ytt 日本犬用雞肉條小食 20g｜Complete ytt Chicken Tender Dog Treats 20g,32.9,69.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
105,prod_V8sFjjO8IgpPvO,price_1U8aVORyM6dRKLtZIb6ivl1D,MH-DOG-GEN-001,Complete ytt 日本犬用雞肉條小食 20g｜Complete ytt Chicken Tender Dog Treats 20g,36.7,78.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
106,prod_V8sFjjO8IgpPvO,price_1U8aVORyM6dRKLtZyvltXD1x,MH-DOG-GEN-001,Complete ytt 日本犬用雞肉條小食 20g｜Complete ytt Chicken Tender Dog Treats 20g,32.9,69.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
107,prod_V8szJB1xzy0Hkm,price_1U8bDuRyM6dRKLtZLWNMemMt,MH-LIF-GEN-001,藍貓圖案斜口高腳陶瓷食盤 M｜Blue Cat Pattern Raised Slanted Ceramic Bowl M,30.95,65.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
108,prod_V8szxN4qvZQyrJ,price_1U8bDrRyM6dRKLtZ4BGKfDgq,MH-LIF-GEN-002,貓耳斜口高腳陶瓷食盤 12cm｜Cat Ear Raised Slanted Ceramic Bowl 12cm,25.5,54.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
109,prod_V8szxN4qvZQyrJ,price_1U8bDrRyM6dRKLtZFJenWOBn,MH-LIF-GEN-002,貓耳斜口高腳陶瓷食盤 12cm｜Cat Ear Raised Slanted Ceramic Bowl 12cm,25.5,54.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
110,prod_V8szxN4qvZQyrJ,price_1U8bDrRyM6dRKLtZvZK2osMh,MH-LIF-GEN-002,貓耳斜口高腳陶瓷食盤 12cm｜Cat Ear Raised Slanted Ceramic Bowl 12cm,25.5,54.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
111,prod_V8szxN4qvZQyrJ,price_1U8bDsRyM6dRKLtZjeQdGEbD,MH-LIF-GEN-002,貓耳斜口高腳陶瓷食盤 12cm｜Cat Ear Raised Slanted Ceramic Bowl 12cm,25.5,54.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
112,prod_V8t03LiP3rgoHN,price_1U8bE3RyM6dRKLtZ2dyFDhQx,MH-LIF-GEN-003,貓臉斜口高腳陶瓷食盤 350ml｜Cat Face Raised Slanted Ceramic Bowl 350ml,27.94,59.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
113,prod_V8t03LiP3rgoHN,price_1U8bE3RyM6dRKLtZ6NUu82ih,MH-LIF-GEN-003,貓臉斜口高腳陶瓷食盤 350ml｜Cat Face Raised Slanted Ceramic Bowl 350ml,27.94,59.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
114,prod_V8t03LiP3rgoHN,price_1U8bE3RyM6dRKLtZoo1SG8fs,MH-LIF-GEN-003,貓臉斜口高腳陶瓷食盤 350ml｜Cat Face Raised Slanted Ceramic Bowl 350ml,27.94,59.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
115,prod_V8szss31Rm8tiJ,price_1U8bDzRyM6dRKLtZ4X3eofhW,MH-LIF-GEN-004,高腳平口陶瓷貓咪食盤 250ml｜Raised Flat-Rim Ceramic Cat Bowl 250ml,18.34,39.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
116,prod_V8szss31Rm8tiJ,price_1U8bE0RyM6dRKLtZEhY45gCA,MH-LIF-GEN-004,高腳平口陶瓷貓咪食盤 250ml｜Raised Flat-Rim Ceramic Cat Bowl 250ml,18.34,39.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
117,prod_V8szss31Rm8tiJ,price_1U8bE0RyM6dRKLtZMRGdUPd6,MH-LIF-GEN-004,高腳平口陶瓷貓咪食盤 250ml｜Raised Flat-Rim Ceramic Cat Bowl 250ml,18.34,39.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
118,prod_V8t0eKeqlC0GzI,price_1U8bE6RyM6dRKLtZKBGrzFqk,MH-LIF-GEN-005,深藍貓臉高腳陶瓷食盤 M｜Navy Cat Face Raised Ceramic Bowl M,21.9,46.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
119,prod_V8szzgASg2ZnbO,price_1U8bDxRyM6dRKLtZBY1GwTXp,MH-LIF-GEN-006,白貓海浪紋斜口高腳陶瓷食盤 M｜White Cat Wave Pattern Raised Slanted Ceramic Bowl M,27.94,59.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
120,prod_V8uIOVwsFqgPTV,price_1U8cU3RyM6dRKLtZBkHsqyun,MH-LIF-ST-001,Nyantomo 清潔貓廁所 脫臭抗菌木質貓砂 4.4L｜Nyantomo Deodorising Antibacterial Wood Cat Litter 4.4L,96.0,203.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
121,prod_V8uIOVwsFqgPTV,price_1U8cU3RyM6dRKLtZTKnfNwxt,MH-LIF-ST-001,Nyantomo 清潔貓廁所 脫臭抗菌木質貓砂 4.4L｜Nyantomo Deodorising Antibacterial Wood Cat Litter 4.4L,96.0,203.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
122,prod_V8uIOVwsFqgPTV,price_1U8cU3RyM6dRKLtZYlkAeABl,MH-LIF-ST-001,Nyantomo 清潔貓廁所 脫臭抗菌木質貓砂 4.4L｜Nyantomo Deodorising Antibacterial Wood Cat Litter 4.4L,96.0,203.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
