product_id,product_name,mofu_sku,price_id,is_default,variant_label_zh,retail_hkd,cost_cny,cost_source,cost_hkd_at_rate,gross_profit_hkd,gross_margin_pct
prod_V8e2hvyqfhk59B,d.b.f 高齡犬之食事 雞肉紅薯 (7歲及以上)｜d.b.f Senior Dog Meal Chicken & Sweet Potato 85g,MH-DOG-DBF-014,price_1U91u3RyM6dRKLtZmCyZtkzn,True,85g,28.9,,,,,
prod_V8e2eck5fdwDtP,d.b.f 成犬之食事 雞肉蔬菜｜d.b.f Adult Dog Meal Chicken & Vegetables 85g,MH-DOG-DBF-013,price_1U91u4RyM6dRKLtZaA5DUGsR,True,85g,28.9,,,,,
prod_V8e2wynYC6XsBo,d.b.f 成犬之食事 雞肉紅薯｜d.b.f Adult Dog Meal Chicken & Sweet Potato 85g,MH-DOG-DBF-012,price_1U91u5RyM6dRKLtZPVZkvZ4T,True,85g,28.9,,,,,
prod_V8e1EgYIqCWkcb,d.b.f 成犬之食事 雞肉軟骨｜d.b.f Adult Dog Meal Chicken & Cartilage 85g,MH-DOG-DBF-011,price_1U91u6RyM6dRKLtZ8WJAvU0D,True,85g,28.9,,,,,
prod_V8e1qdj8efQTs9,d.b.f 雞肉糜｜d.b.f Chicken Mince Dog Can 65g,MH-DOG-DBF-010,price_1U91u7RyM6dRKLtZV1W983iE,True,65g,23.9,,,,,
prod_V8e1Y4NZgoH3mG,d.b.f 雞肉雞胗濃湯｜d.b.f Chicken Breast & Gizzard Soup Dog Can 85g,MH-DOG-DBF-009,price_1U91u8RyM6dRKLtZlfZ1yXfT,True,85g,28.9,,,,,
prod_V8e143elQIOfMM,d.b.f 雞肉&紅薯小粒｜d.b.f Chicken & Sweet Potato Adult Dog Can 85g,MH-DOG-DBF-008,price_1U91u9RyM6dRKLtZhA948VL3,True,85g,28.9,,,,,
prod_V8e1Jgdnr9v8HM,d.b.f 牛肉糜｜d.b.f Beef Mince Dog Can 65g,MH-DOG-DBF-007,price_1U91uARyM6dRKLtZ8WTc7qJu,True,65g,27.9,,,,,
prod_V8e1nNRuozpeTU,d.b.f 牛肉&軟骨｜d.b.f Beef & Cartilage Dog Can 85g,MH-DOG-DBF-006,price_1U91uBRyM6dRKLtZrZVTc6SJ,True,85g,28.9,,,,,
prod_V8e1XhfhroMZtV,d.b.f 雞肉&蔬菜｜d.b.f Chicken & Vegetables Adult Dog Can 85g,MH-DOG-DBF-005,price_1U91uCRyM6dRKLtZ0uvabiWm,True,85g,28.9,,,,,
prod_V8e1qzONSyt8ru,d.b.f 雞肉&芝士｜d.b.f Chicken & Cheese Adult Dog Can 85g,MH-DOG-DBF-004,price_1U91uDRyM6dRKLtZLJtT5fOr,True,85g,28.9,,,,,
prod_V8e1MyE7x9BZDl,d.b.f 雞胸肉濃湯｜d.b.f Chicken Breast in Soup Dog Can 85g,MH-DOG-DBF-003,price_1U91uERyM6dRKLtZQZV55yw8,True,85g,28.9,,,,,
prod_V8e1ExxiCmg67D,d.b.f 雞胸肉&奶酪｜d.b.f Chicken Breast & Cheese Dog Can 85g,MH-DOG-DBF-002,price_1U91uFRyM6dRKLtZdi5JgQDQ,True,85g,28.9,,,,,
prod_V8e1g0toA5TEk7,d.b.f 雞肉軟骨｜d.b.f Chicken Breast & Cartilage Dog Can 85g,MH-DOG-DBF-001,price_1U91uGRyM6dRKLtZx0DrlOVj,True,85g,28.9,,,,,
prod_V8crzn01d7SXcg,COMBO Present 低脂絕育貓 混合海鮮 小包｜COMBO Present Low-Fat Neutered Cat Seafood Mini Pack,MH-CAT-CMP-016,price_1U91uHRyM6dRKLtZkWxWtZfw,True,42g (3g×14包),33.9,,,,,
prod_V8cr8kOWyjP3g1,COMBO Present 維護泌尿 混合海鮮 小包｜COMBO Present Urinary Health Support Seafood Mini Pack,MH-CAT-CMP-017,price_1U91uIRyM6dRKLtZnvbvp85m,True,42g (3g×14包),33.9,,,,,
prod_V8crpeVGxpASKY,COMBO Present 化毛配方 混合海鮮 小包｜COMBO Present Hairball Care Seafood Mini Pack,MH-CAT-CMP-008,price_1U91uJRyM6dRKLtZ8FTJ5UsY,True,42g (3g×14包),33.9,,,,,
prod_V8crtmrNegpX6C,COMBO Present 維護腎臟 混合肉味 小包｜COMBO Present Kidney Health Support Meat Mini Pack,MH-CAT-CMP-013,price_1U91uKRyM6dRKLtZ78PG5Gp1,True,42g (3g×14包),33.9,,,,,
