mofu_sku,brand,product_id,price_id,product_name,variant_label_zh,current_hkd,formula_fx_cny_to_hkd,formula_retail_multiplier,implied_cost_cny_baseline,forward_formula_hkd_at_same_fx,price_change_hkd_at_same_fx,data_classification,must_not_write_as,write_action
MH-CAT-CMP-001,COMBO Present,prod_V8crHGAsSzl77H,price_1U8VfyRyM6dRKLtZv3pqg3t2,COMBO Present 男生喜歡的口味 魚味 小包｜COMBO Present Boy-Friendly Fish Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-002,COMBO Present,prod_V8cr9iyVmqUz8O,price_1U8VfwRyM6dRKLtZTi5PY8Go,COMBO Present 潔齒防口臭 混合肉味 小包｜COMBO Present Dental and Breath Care Meat Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-003,COMBO Present,prod_V8crzRJNuOzt2e,price_1U8VfuRyM6dRKLtZ1Xzbqwgz,COMBO Present 潔齒防口臭 混合海鮮 小包｜COMBO Present Dental and Breath Care Seafood Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-004,COMBO Present,prod_V8crNNIKOTELSy,price_1U8VftRyM6dRKLtZjUSxlTXX,COMBO Present 潔齒防口臭 三種口味｜COMBO Present Dental and Breath Care Three-Flavour Variety Pack,90g (3g×30包),58.90,1.166,1.76,28.70146577,58.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-005,COMBO Present,prod_V8crT5vLCe95hY,price_1U8VgARyM6dRKLtZ6qLx74OA,COMBO Present 腸道環境維持 海鮮 小包｜COMBO Present Digestive Support Seafood Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-006,COMBO Present,prod_V8cr9ARnvUOKQM,price_1U8Vg8RyM6dRKLtZk2x37iHr,COMBO Present 腸道環境維持 三種口味｜COMBO Present Digestive Support Three-Flavour Variety Pack,90g (3g×30包),58.90,1.166,1.76,28.70146577,58.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-007,COMBO Present,prod_V8cr9Jv6Ewv0ui,price_1U8VfoRyM6dRKLtZD0xQ0o0K,COMBO Present 女生喜歡口味 混合海鮮 小包｜COMBO Present Girl-Friendly Seafood Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-008,COMBO Present,prod_V8crpeVGxpASKY,price_1U8VfmRyM6dRKLtZmIZuJdnn,COMBO Present 化毛配方 混合海鮮 小包｜COMBO Present Hairball Care Seafood Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-009,COMBO Present,prod_V8crrguHp5YAXt,price_1U8VfkRyM6dRKLtZyi6EfUZn,COMBO Present 免疫力維持 海鮮 小包｜COMBO Present Immune Support Seafood Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-010,COMBO Present,prod_V8cr2Q8hiWwniV,price_1U8VfiRyM6dRKLtZUsusaDXK,COMBO Present 免疫力維持 三種口味｜COMBO Present Immune Support Three-Flavour Variety Pack,90g (3g×30包),58.90,1.166,1.76,28.70146577,58.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
