mofu_sku,brand,product_id,price_id,product_name,variant_label_zh,current_hkd,formula_fx_cny_to_hkd,formula_retail_multiplier,implied_cost_cny_baseline,forward_formula_hkd_at_same_fx,price_change_hkd_at_same_fx,data_classification,must_not_write_as,write_action
MH-DOG-IRIS-007,ONE CARE,prod_V8ZpWi2bc00Aty,price_1U8VhLRyM6dRKLtZCwjfhbdt,白身魚口味罐頭（White Fish）,15罐裝,98.90,1.166,1.76,48.19312334,98.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-007,ONE CARE,prod_V8ZpWi2bc00Aty,price_1U8VhNRyM6dRKLtZyBD2uK6n,白身魚口味罐頭（White Fish）,30罐裝,188.90,1.166,1.76,92.04935287,188.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-045,Vet’s Labo,prod_V8feViin1yPowA,price_1U8VgJRyM6dRKLtZ4V7rcIn2,Vet's Labo｜MediMousse 腸胃呵護慕斯｜95g,95g,38.90,1.166,1.76,18.95563698,38.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-046,Vet’s Labo,prod_V8fexvyuSOogz8,price_1U8VgFRyM6dRKLtZy9DpjTcg,Vet's Labo｜MediMousse 健康支持慕斯｜95g,95g,38.90,1.166,1.76,18.95563698,38.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-047,Vet’s Labo,prod_V8feexDq7xAidn,price_1U8VgIRyM6dRKLtZ5N8bJkjF,Vet's Labo｜MediMousse 皮膚維護慕斯｜95g,95g,38.90,1.166,1.76,18.95563698,38.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-048,Vet’s Labo,prod_V8fe6YUsIrEf8Q,price_1U8VgGRyM6dRKLtZXOrz5nwX,Vet's Labo｜MediMousse 減肥減脂慕斯｜95g,95g,38.90,1.166,1.76,18.95563698,38.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-001,d.b.f,prod_V8e1g0toA5TEk7,price_1U8VghRyM6dRKLtZxGwSE72f,d.b.f 雞肉軟骨｜d.b.f Chicken Breast & Cartilage Dog Can 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-002,d.b.f,prod_V8e1ExxiCmg67D,price_1U8VgkRyM6dRKLtZ3NUks8VZ,d.b.f 雞胸肉&奶酪｜d.b.f Chicken Breast & Cheese Dog Can 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-003,d.b.f,prod_V8e1MyE7x9BZDl,price_1U8VglRyM6dRKLtZJSyEL0xC,d.b.f 雞胸肉濃湯｜d.b.f Chicken Breast in Soup Dog Can 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-004,d.b.f,prod_V8e1qzONSyt8ru,price_1U8VgaRyM6dRKLtZ506eApli,d.b.f 雞肉&芝士｜d.b.f Chicken & Cheese Adult Dog Can 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-005,d.b.f,prod_V8e1XhfhroMZtV,price_1U8VgbRyM6dRKLtZlxvYMDLR,d.b.f 雞肉&蔬菜｜d.b.f Chicken & Vegetables Adult Dog Can 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-006,d.b.f,prod_V8e1nNRuozpeTU,price_1U8VgSRyM6dRKLtZs3ZbrVza,d.b.f 牛肉&軟骨｜d.b.f Beef & Cartilage Dog Can 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-007,d.b.f,prod_V8e1Jgdnr9v8HM,price_1U8VgVRyM6dRKLtZ7gyPlKxI,d.b.f 牛肉糜｜d.b.f Beef Mince Dog Can 65g,65g,26.90,1.166,1.76,13.10813971,26.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-008,d.b.f,prod_V8e143elQIOfMM,price_1U8VgYRyM6dRKLtZxDR4pp7h,d.b.f 雞肉&紅薯小粒｜d.b.f Chicken & Sweet Potato Adult Dog Can 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-009,d.b.f,prod_V8e1Y4NZgoH3mG,price_1U8VgiRyM6dRKLtZPBByowjt,d.b.f 雞肉雞胗濃湯｜d.b.f Chicken Breast & Gizzard Soup Dog Can 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-010,d.b.f,prod_V8e1qdj8efQTs9,price_1U8MjuRyM6dRKLtZgrVX9mqI,d.b.f 雞肉糜｜d.b.f Chicken Mince Dog Can 65g,65g,22.90,1.166,1.76,11.15897395,22.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-011,d.b.f,prod_V8e1EgYIqCWkcb,price_1U8VgORyM6dRKLtZZ3aglbbL,d.b.f 成犬之食事 雞肉軟骨｜d.b.f Adult Dog Meal Chicken & Cartilage 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-012,d.b.f,prod_V8e2wynYC6XsBo,price_1U8VgLRyM6dRKLtZAGauubws,d.b.f 成犬之食事 雞肉紅薯｜d.b.f Adult Dog Meal Chicken & Sweet Potato 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-013,d.b.f,prod_V8e2eck5fdwDtP,price_1U8VgNRyM6dRKLtZQs8turyO,d.b.f 成犬之食事 雞肉蔬菜｜d.b.f Adult Dog Meal Chicken & Vegetables 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-014,d.b.f,prod_V8e2hvyqfhk59B,price_1U8VgrRyM6dRKLtZQQyAMw9r,d.b.f 高齡犬之食事 雞肉紅薯 (7歲及以上)｜d.b.f Senior Dog Meal Chicken & Sweet Potato 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-015,d.b.f,prod_V8e2hyOUdfOwnM,price_1U8VgXRyM6dRKLtZ1809VYTH,d.b.f 牛肉紅薯｜d.b.f Beef & Sweet Potato Dog Can 85g,85g,31.90,1.166,1.76,15.54459691,31.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-016,d.b.f,prod_V8e22XlcOMIRus,price_1U8VgpRyM6dRKLtZtyzfIREm,d.b.f 高齡犬之食事 雞肉 (7歲及以上)｜d.b.f Senior Dog Meal Chicken 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-017,d.b.f,prod_V8e2oW8u6WCtg5,price_1U8VgsRyM6dRKLtZZdvsRHV7,d.b.f 高齡犬之食事 雞肉蔬菜 (7歲及以上)｜d.b.f Senior Dog Meal Chicken & Vegetables 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-018,d.b.f,prod_V8e2MnRWL8I3ON,price_1U8VgQRyM6dRKLtZoohhjjug,d.b.f 成犬之食事 雞肉｜d.b.f Adult Dog Meal Chicken 85g,85g,31.90,1.166,1.76,15.54459691,31.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-019,d.b.f,prod_V8e2EKKmnHUR8w,price_1U8VgTRyM6dRKLtZXyxJ7VDz,d.b.f 牛肉奶酪｜d.b.f Beef & Cheese Dog Can 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-020,d.b.f,prod_V8e2NVxYYDt7TI,price_1U8VguRyM6dRKLtZcl3gkGhu,d.b.f 高齡犬之食事 雞肉軟骨 (7歲及以上)｜d.b.f Senior Dog Meal Chicken & Cartilage 85g,85g,27.90,1.166,1.76,13.59543115,27.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-021,d.b.f,prod_V8e2HgqFtfTeZ3,price_1U8VgnRyM6dRKLtZpoXJ8AO1,d.b.f 雞胸肉糜 (脂肪含量更少 0.5% 以上)｜d.b.f Chicken Breast Mince Low-fat Dog Can 65g,65g,26.90,1.166,1.76,13.10813971,26.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-022,d.b.f,prod_V8e2yXi5ewIEg5,price_1U8VgfRyM6dRKLtZ4FJtM5x2,d.b.f 雞肉&雞胸肉糜蔬菜｜d.b.f Chicken & Chicken Breast Mince with Vegetables 150g,150g,43.90,1.166,1.76,21.39209418,43.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DBF-023,d.b.f,prod_V8e2NpxQsXvHOA,price_1U8VgdRyM6dRKLtZrks64yvz,d.b.f 雞肉&雞胸肉糜紅薯｜d.b.f Chicken & Chicken Breast Mince with Sweet Potato 150g,150g,43.90,1.166,1.76,21.39209418,43.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
