mofu_sku,product_id,product_name,source_price_id,replacement_price_id,old_hkd,new_hkd,cost_cny,source_inactive,replacement_active,default_price_is_replacement,verified
MH-CAT-COMBO-001,prod_V8lAOpvuncOCZM,COMBO 貓咪奢華美食四重滋味熟成鰹魚乾糧 600g｜COMBO Luxury Gourmet Four Flavours with Aged Bonito Dry Cat Food 600g,price_1U90TlRyM6dRKLtZ6GLk9xjl,price_1U91MfRyM6dRKLtZzhqc0JxS,183.90,184.90,89.6000,True,True,True,True
MH-CAT-COMBO-002,prod_V8lAeH2hqPlna6,COMBO 貓咪奢華美食拼配鮭魚脆片鰹魚節乾糧 700g｜COMBO Luxury Gourmet Blend with Salmon Chips & Bonito Flakes Dry Cat Food 700g,price_1U90TrRyM6dRKLtZl9rMZv4g,price_1U91MeRyM6dRKLtZ5O0AYreF,183.90,184.90,89.6000,True,True,True,True
MH-CAT-COMBO-003,prod_V8lAWevxk3Za0C,COMBO 體重關注貓用鮪魚鰹魚節乾糧 600g｜COMBO Weight-Concern Cat Tuna Dry Food with Bonito Flakes 600g,price_1U90TnRyM6dRKLtZ6217JLWk,price_1U91MdRyM6dRKLtZDPeHsiFk,183.90,184.90,89.6000,True,True,True,True
