csv_row,product_id,source_csv_price_id,current_active_price_id,mofu_sku,product_name,cost_cny,proposed_hkd,csv_target_cents,current_live_hkd,mapping_status,mapping_basis,issue
12,prod_V90yxohDmOksl3,price_1U8iwgRyM6dRKLtZWmshq8Qw,price_1U90VcRyM6dRKLtZHWkOBIIX,MH-CAT-CIAO-011,CIAO｜雞肉烤鰹魚柴魚片貓罐頭｜單罐,12.8,27.9,2790,26.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
13,prod_V90yrU6QwJj9H4,price_1U8iwhRyM6dRKLtZedeY1D6y,price_1U90VaRyM6dRKLtZUgLoMWES,MH-CAT-CIAO-012,CIAO｜雞肉甜蝦小銀魚貓罐頭｜單罐,13.8,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
14,prod_V90ynw7GK161mE,price_1U8iwiRyM6dRKLtZDni4Rrvo,price_1U90VXRyM6dRKLtZBITrxe2x,MH-CAT-CIAO-013,CIAO｜鰹魚柴魚片貓罐頭｜單罐,13.8,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
15,prod_V90yisznvIVXlp,price_1U8iwjRyM6dRKLtZL7hePLZM,price_1U90VVRyM6dRKLtZ66UbXymb,MH-CAT-CIAO-014,CIAO｜烤鰹魚鮪魚雞肉貓罐頭｜單罐,15.8,33.9,3390,32.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
16,prod_V90ynvqu5ntnjO,price_1U8iwkRyM6dRKLtZLKkQOBAC,price_1U90VWRyM6dRKLtZDnKb0U4T,MH-CAT-CIAO-015,CIAO｜雞肉扇貝柱貓罐頭｜單罐,13.8,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
17,prod_V90ytLadcfCm8a,price_1U8iwlRyM6dRKLtZUPCtyfo0,price_1U90VbRyM6dRKLtZXUOkZaeJ,MH-CAT-CIAO-016,CIAO｜雞肉蟹柳柴魚片貓罐頭｜單罐,13.8,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
18,prod_V90yqFB6WTazQ9,price_1U8iwmRyM6dRKLtZY9nLDMUK,price_1U90VZRyM6dRKLtZMpko1E4s,MH-CAT-CIAO-017,CIAO｜雞肉蟹柳貓罐頭｜單罐,13.8,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
19,prod_V90yyLLKXQRQey,price_1U8iwoRyM6dRKLtZP8VcS1tu,price_1U90VdRyM6dRKLtZnxqOGUlV,MH-CAT-CIAO-018,CIAO｜鮪魚白肉扇貝柱貓罐頭｜單罐,12.8,27.9,2790,26.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
20,prod_V90y14gfPJNkP3,price_1U8iwpRyM6dRKLtZc7uPsPIp,price_1U90VKRyM6dRKLtZCTgrpp2Y,MH-CAT-CIAO-019,CIAO｜11歲以上鰹魚白肉貓罐頭｜單罐,15.8,33.9,3390,32.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
21,prod_V90yRB01IgVrDV,price_1U8iwqRyM6dRKLtZTZ0TAzAG,price_1U90VSRyM6dRKLtZz1M90pfE,MH-CAT-CIAO-020,CIAO｜11歲以上鮪魚白肉貓罐頭｜單罐,15.8,33.9,3390,32.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
