產品序號,店內 SKU,產品名稱,品牌,供應商 SKU,Stripe Product ID,Stripe Price ID,Price 是否預設,變體／規格,現行 HKD 售價,原始匯入來源,待輸入 CNY 成本（此 Price）,成本來源／供應商連結或單據,成本日期,確認目標毛利率（例如 0.45）,入境／運費 HKD（如適用）,備註
22,MH-CAT-CMP-002,COMBO Present 潔齒防口臭 混合肉味 小包｜COMBO Present Dental and Breath Care Meat Mini Pack,COMBO Present,,prod_V8cr9iyVmqUz8O,price_1U8VfwRyM6dRKLtZTi5PY8Go,是,42g (3g×14包),32.90,MofuHaven_Order_For_Boss.md,,,,,,
23,MH-CAT-CMP-003,COMBO Present 潔齒防口臭 混合海鮮 小包｜COMBO Present Dental and Breath Care Seafood Mini Pack,COMBO Present,,prod_V8crzRJNuOzt2e,price_1U8VfuRyM6dRKLtZ1Xzbqwgz,是,42g (3g×14包),32.90,MofuHaven_Order_For_Boss.md,,,,,,
24,MH-CAT-CMP-004,COMBO Present 潔齒防口臭 三種口味｜COMBO Present Dental and Breath Care Three-Flavour Variety Pack,COMBO Present,,prod_V8crNNIKOTELSy,price_1U8VftRyM6dRKLtZjUSxlTXX,是,90g (3g×30包),58.90,MofuHaven_Order_For_Boss.md,,,,,,
25,MH-CAT-CMP-005,COMBO Present 腸道環境維持 海鮮 小包｜COMBO Present Digestive Support Seafood Mini Pack,COMBO Present,,prod_V8crT5vLCe95hY,price_1U8VgARyM6dRKLtZ6qLx74OA,是,42g (3g×14包),32.90,MofuHaven_Order_For_Boss.md,,,,,,
26,MH-CAT-CMP-006,COMBO Present 腸道環境維持 三種口味｜COMBO Present Digestive Support Three-Flavour Variety Pack,COMBO Present,,prod_V8cr9ARnvUOKQM,price_1U8Vg8RyM6dRKLtZk2x37iHr,是,90g (3g×30包),58.90,MofuHaven_Order_For_Boss.md,,,,,,
27,MH-CAT-CMP-007,COMBO Present 女生喜歡口味 混合海鮮 小包｜COMBO Present Girl-Friendly Seafood Mini Pack,COMBO Present,,prod_V8cr9Jv6Ewv0ui,price_1U8VfoRyM6dRKLtZD0xQ0o0K,是,42g (3g×14包),32.90,MofuHaven_Order_For_Boss.md,,,,,,
28,MH-CAT-CMP-008,COMBO Present 化毛配方 混合海鮮 小包｜COMBO Present Hairball Care Seafood Mini Pack,COMBO Present,,prod_V8crpeVGxpASKY,price_1U8VfmRyM6dRKLtZmIZuJdnn,是,42g (3g×14包),32.90,MofuHaven_Order_For_Boss.md,,,,,,
29,MH-CAT-CMP-009,COMBO Present 免疫力維持 海鮮 小包｜COMBO Present Immune Support Seafood Mini Pack,COMBO Present,,prod_V8crrguHp5YAXt,price_1U8VfkRyM6dRKLtZyi6EfUZn,是,42g (3g×14包),32.90,MofuHaven_Order_For_Boss.md,,,,,,
30,MH-CAT-CMP-010,COMBO Present 免疫力維持 三種口味｜COMBO Present Immune Support Three-Flavour Variety Pack,COMBO Present,,prod_V8cr2Q8hiWwniV,price_1U8VfiRyM6dRKLtZUsusaDXK,是,90g (3g×30包),58.90,MofuHaven_Order_For_Boss.md,,,,,,
31,MH-CAT-CMP-011,COMBO Present 室內貓化毛 三種口味｜COMBO Present Indoor Cat Hairball Care Three-Flavour Variety Pack,COMBO Present,,prod_V8croZ9K3Kppbf,price_1U8VfrRyM6dRKLtZUS6x0qQo,是,90g (3g×30包),58.90,MofuHaven_Order_For_Boss.md,,,,,,
32,MH-CAT-CMP-012,COMBO Present 室內貓 金槍魚 小包｜COMBO Present Indoor Cat Tuna Mini Pack,COMBO Present,,prod_V8crhpakrZfoXD,price_1U8VfqRyM6dRKLtZkB11qUqD,是,42g (3g×14包),32.90,MofuHaven_Order_For_Boss.md,,,,,,
33,MH-CAT-CMP-013,COMBO Present 維護腎臟 混合肉味 小包｜COMBO Present Kidney Health Support Meat Mini Pack,COMBO Present,,prod_V8crtmrNegpX6C,price_1U8Vg5RyM6dRKLtZqlVvcVTl,是,42g (3g×14包),32.90,MofuHaven_Order_For_Boss.md,,,,,,
34,MH-CAT-CMP-014,COMBO Present 維護腎臟 混合海鮮 小包｜COMBO Present Kidney Health Support Seafood Mini Pack,COMBO Present,,prod_V8crvbMiPxxJvt,price_1U8Vg3RyM6dRKLtZqTxXdIMe,是,42g (3g×14包),32.90,MofuHaven_Order_For_Boss.md,,,,,,
35,MH-CAT-CMP-015,COMBO Present 維護腎臟配方 三種口味｜COMBO Present Kidney Health Support Three-Flavour Variety Pack,COMBO Present,,prod_V8crErEJilA30r,price_1U8Vg7RyM6dRKLtZaWtSwItm,是,90g (3g×30包),58.90,MofuHaven_Order_For_Boss.md,,,,,,
36,MH-CAT-CMP-016,COMBO Present 低脂絕育貓 混合海鮮 小包｜COMBO Present Low-Fat Neutered Cat Seafood Mini Pack,COMBO Present,,prod_V8crzn01d7SXcg,price_1U8VfhRyM6dRKLtZQxO4fpuu,是,42g (3g×14包),32.90,MofuHaven_Order_For_Boss.md,,,,,,
37,MH-CAT-CMP-017,COMBO Present 維護泌尿 混合海鮮 小包｜COMBO Present Urinary Health Support Seafood Mini Pack,COMBO Present,,prod_V8cr8kOWyjP3g1,price_1U8Vg0RyM6dRKLtZALUmo5Pt,是,42g (3g×14包),32.90,MofuHaven_Order_For_Boss.md,,,,,,
38,MH-CAT-CMP-018,COMBO Present 維護泌尿配方 三種口味｜COMBO Present Urinary Health Support Three-Flavour Variety Pack,COMBO Present,,prod_V8crKsH08GDJxM,price_1U8Vg1RyM6dRKLtZnRYfKHeX,是,90g (3g×30包),58.90,MofuHaven_Order_For_Boss.md,,,,,,
39,MH-CAT-MCK-001,三文魚 17g (預定),Mamacook,,prod_V8W0oLt83VbMEB,price_1U8VgvRyM6dRKLtZh8vgbQgO,是,單一規格,106.90,pet_products_clean_retail_only.csv,,,,,,
40,MH-CAT-MCK-002,圓粒雞里脊 18g (現貨 / 賞味 28.01),Mamacook,,prod_V8W0n6wDbyKpya,price_1U8VgxRyM6dRKLtZMYRg7EId,是,單一規格,64.90,pet_products_clean_retail_only.csv,,,,,,
41,MH-CAT-MCK-003,扇貝 11g (現貨 / 27.01.15),Mamacook,,prod_V8W0BWVdW0bKlr,price_1U8VgzRyM6dRKLtZMgGqC4Ob,是,單一規格,78.90,pet_products_clean_retail_only.csv,,,,,,
42,MH-CAT-MCK-004,牛大腿肉 17g (現貨 / 2027.12.01),Mamacook,,prod_V8W0eQFDHSCPxC,price_1U8VhERyM6dRKLtZRJUYIode,是,單一規格,82.90,pet_products_clean_retail_only.csv,,,,,,
43,MH-CAT-MCK-005,胡瓜魚凍干 10g (預定),Mamacook,,prod_V8W0xHzc6tqf3B,price_1U8VhORyM6dRKLtZaHHmw4vx,是,單一規格,80.90,pet_products_clean_retail_only.csv,,,,,,
44,MH-CAT-MCK-006,虹鱒魚 15g (現貨 / 賞味 27.5),Mamacook,,prod_V8W0fChA9h4VNq,price_1U8VhQRyM6dRKLtZcmZ9StPG,是,單一規格,80.90,pet_products_clean_retail_only.csv,,,,,,
45,MH-CAT-MCK-007,豬大腿肉 20g (預定),Mamacook,,prod_V8W0DDhtV271xl,price_1U8VhSRyM6dRKLtZMdg6lgBN,是,單一規格,73.90,pet_products_clean_retail_only.csv,,,,,,
46,MH-CAT-MCK-008,豬心 25g (預定 (缺貨)),Mamacook,,prod_V8W0LKmYo2bfxf,price_1U8VhTRyM6dRKLtZCXZk7rs1,是,單一規格,75.90,pet_products_clean_retail_only.csv,,,,,,
47,MH-CAT-MCK-009,金槍魚 14g (預定),Mamacook,,prod_V8W0mdB77ZJc5M,price_1U8VhVRyM6dRKLtZ2SNCvfDD,是,單一規格,80.90,pet_products_clean_retail_only.csv,,,,,,
48,MH-CAT-MCK-010,銀魚 10g (預定),Mamacook,,prod_V8W073h3MHqGhr,price_1U8VhXRyM6dRKLtZpnl8JDZN,是,單一規格,78.90,pet_products_clean_retail_only.csv,,,,,,
49,MH-CAT-MCK-011,雞胸肉 150g (現貨 / 賞味 27.10),Mamacook,,prod_V8VzG9Cs8B2Rjb,price_1U8VhhRyM6dRKLtZreAjaaqG,是,單一規格,262.90,pet_products_clean_retail_only.csv,,,,,,
50,MH-CAT-MCK-012,雞胸肉 30g (現貨 / 賞味 28.01),Mamacook,,prod_V8VzTooOH64y65,price_1U8VhiRyM6dRKLtZcE0BERx5,是,單一規格,77.90,pet_products_clean_retail_only.csv,,,,,,
51,MH-CAT-MCK-013,雞胸肉碎沫凍干粉拌飯 (現貨 / 2027.11.17),Mamacook,,prod_V8W07sgetW5UqK,price_1U8VhkRyM6dRKLtZzV6cvj1O,是,單一規格,75.90,pet_products_clean_retail_only.csv,,,,,,
52,MH-CAT-MCK-014,雞胸肉雞肝凍干 120g (現貨 / 27.07),Mamacook,,prod_V8W0oMeIOyFLhp,price_1U8Ey0RyM6dRKLtZea02ekZN,是,單一規格,250.90,pet_products_clean_retail_only.csv,,,,,,
53,MH-CAT-MCK-015,雞胸肉雞肝凍干 18g (預定),Mamacook,,prod_V8VzYLI6mgAR3P,price_1U8VhmRyM6dRKLtZQLMUjgZb,是,單一規格,62.90,pet_products_clean_retail_only.csv,,,,,,
54,MH-CAT-MCK-016,雞胸肉雞肫凍干 120g (現貨 / 2027.04.03),Mamacook,,prod_V8W06fowHsMOSF,price_1U8Ey3RyM6dRKLtZ4nscQPyL,是,單一規格,250.90,pet_products_clean_retail_only.csv,,,,,,
55,MH-CAT-MCK-017,雞胸肉雞肫凍干 18g (現貨 / 2027.04.25),Mamacook,,prod_V8W072ieTWyOZ7,price_1U8VhoRyM6dRKLtZEPUbvHtX,是,單一規格,62.90,pet_products_clean_retail_only.csv,,,,,,
56,MH-CAT-MCK-018,雞里脊 150g (現貨 / 2027.11.30),Mamacook,,prod_V8Vz4r6kx51OK2,price_1U8VhrRyM6dRKLtZCmbpVwO6,是,單一規格,262.90,pet_products_clean_retail_only.csv,,,,,,
